Period,Value
Jan-92,146376
Feb-92,147079
Mar-92,159336
Apr-92,163669
May-92,170068
Jun-92,168663
Jul-92,169890
Aug-92,170364
Sep-92,164617
Oct-92,173655
Nov-92,171547
Dec-92,208838
Jan-93,153221
Feb-93,150087
Mar-93,170439
Apr-93,176456
May-93,182231
Jun-93,181535
Jul-93,183682
Aug-93,183318
Sep-93,177406
Oct-93,182737
Nov-93,187443
Dec-93,224540
Jan-94,161349
Feb-94,162841
Mar-94,192319
Apr-94,189569
May-94,194927
Jun-94,197946
Jul-94,193355
Aug-94,202388
Sep-94,193954
Oct-94,197956
Nov-94,202520
Dec-94,241111
Jan-95,175344
Feb-95,172138
Mar-95,201279
Apr-95,196039
May-95,210478
Jun-95,211844
Jul-95,203411
Aug-95,214248
Sep-95,202122
Oct-95,204044
Nov-95,212190
Dec-95,247491
Jan-96,185019
Feb-96,192380
Mar-96,212110
Apr-96,211718
May-96,226936
Jun-96,217511
Jul-96,218111
Aug-96,226062
Sep-96,209250
Oct-96,222663
Nov-96,223953
Dec-96,258081
Jan-97,200389
Feb-97,197556
Mar-97,225133
Apr-97,220329
May-97,234190
Jun-97,227365
Jul-97,231521
Aug-97,235252
Sep-97,222807
Oct-97,232251
Nov-97,228284
Dec-97,271054
Jan-98,207853
Feb-98,203863
Mar-98,230313
Apr-98,234503
May-98,245027
Jun-98,244067
Jul-98,241431
Aug-98,240462
Sep-98,231243
Oct-98,244234
Nov-98,240991
Dec-98,288969
Jan-99,218126
Feb-99,220650
Mar-99,253550
Apr-99,250783
May-99,262113
Jun-99,260918
Jul-99,262051
Aug-99,265089
Sep-99,253905
Oct-99,258040
Nov-99,264106
Dec-99,317659
Jan-00,236422
Feb-00,250580
Mar-00,279515
Apr-00,264417
May-00,283706
Jun-00,281288
Jul-00,271146
Aug-00,283944
Sep-00,269155
Oct-00,270899
Nov-00,276507
Dec-00,319958
Jan-01,250746
Feb-01,247772
Mar-01,280449
Apr-01,274925
May-01,296013
Jun-01,287881
Jul-01,279098
Aug-01,294763
Sep-01,261924
Oct-01,291596
Nov-01,287537
Dec-01,326202
Jan-02,255598
Feb-02,253086
Mar-02,285261
Apr-02,284747
May-02,300402
Jun-02,288854
Jul-02,295433
Aug-02,307256
Sep-02,273189
Oct-02,287540
Nov-02,290705
Dec-02,337006
Jan-03,268328
Feb-03,259051
Mar-03,293693
Apr-03,294251
May-03,312389
Jun-03,300998
Jul-03,309923
Aug-03,317056
Sep-03,293890
Oct-03,304036
Nov-03,301265
Dec-03,357577
Jan-04,281460
Feb-04,282444
Mar-04,319077
Apr-04,315191
May-04,328408
Jun-04,321044
Jul-04,328000
Aug-04,326317
Sep-04,313524
Oct-04,319726
Nov-04,324259
Dec-04,387155
Jan-05,293261
Feb-05,295062
Mar-05,339141
Apr-05,335632
May-05,345348
Jun-05,350945
Jul-05,351827
Aug-05,355701
Sep-05,333289
Oct-05,336134
Nov-05,343798
Dec-05,405608
Jan-06,318546
Feb-06,314051
Mar-06,361993
Apr-06,351667
May-06,373560
Jun-06,366615
Jul-06,362203
Aug-06,375795
Sep-06,346214
Oct-06,348796
Nov-06,356928
Dec-06,417991
Jan-07,328877
Feb-07,323162
Mar-07,374142
Apr-07,358535
May-07,391512
Jun-07,376639
Jul-07,372354
Aug-07,388016
Sep-07,353936
Oct-07,368681
Nov-07,377802
Dec-07,426077
Jan-08,342639
Feb-08,343893
Mar-08,372907
Apr-08,368920
May-08,397956
Jun-08,378507
Jul-08,383726
Aug-08,382862
Sep-08,350542
Oct-08,349847
Nov-08,335545
Dec-08,384236
Jan-09,310188
Feb-09,299412
Mar-09,328526
Apr-09,329854
May-09,347728
Jun-09,344405
Jul-09,348071
Aug-09,353392
Sep-09,324646
Oct-09,338610
Nov-09,339363
Dec-09,400281
Jan-10,314557
Feb-10,310925
Mar-10,360679
Apr-10,356333
May-10,365605
Jun-10,358604
Jul-10,361939
Aug-10,362627
Sep-10,345999
Oct-10,355209
Nov-10,365828
Dec-10,426663
Jan-11,335587
Feb-11,337314
Mar-11,387088
Apr-11,380775
May-11,391999
Jun-11,388700
Jul-11,384682
Aug-11,394609
Sep-11,375025
Oct-11,379482
Nov-11,391220
Dec-11,451821
Jan-12,355184
Feb-12,372401
Mar-12,414149
Apr-12,392949
May-12,418608
Jun-12,400975
Jul-12,396026
Aug-12,417922
Sep-12,385609
Oct-12,399400
Nov-12,411065
Dec-12,462102
Jan-13,375497
Feb-13,373989
Mar-13,421748
Apr-13,408539
May-13,437188
Jun-13,414779
Jul-13,422478
Aug-13,435144
Sep-13,396348
Oct-13,415853
Nov-13,423985
Dec-13,477197
Jan-14,383409
Feb-14,380379
Mar-14,432984
Apr-14,431523
May-14,459348
Jun-14,433387
Jul-14,443411
Aug-14,451571
Sep-14,421525
Oct-14,438601
Nov-14,439199
Dec-14,501964
Jan-15,398396
Feb-15,388597
Mar-15,446381
Apr-15,439792
May-15,465030
Jun-15,449965
Jul-15,459763
Aug-15,458128
Sep-15,432762
Oct-15,446636
Nov-15,446247
Dec-15,518589
Jan-16,401798
Feb-16,415005
Mar-16,460864
Apr-16,451105
May-16,470107
Jun-16,464748
Jul-16,462033
Aug-16,471721
Sep-16,448561
Oct-16,453195
Nov-16,467238
Dec-16,539588
Jan-17,422032
Feb-17,418388
Mar-17,483153
Apr-17,465824
May-17,494645
Jun-17,481737
Jul-17,475370
Aug-17,490312
Sep-17,469698
Oct-17,475997
Nov-17,497667
Dec-17,558040
Jan-18,444327
Feb-18,435428
Mar-18,508469
Apr-18,480490
May-18,528350
Jun-18,507353
Jul-18,505312
Aug-18,520951
Sep-18,477397
Oct-18,503826
Nov-18,518927
Dec-18,556615
Jan-19,456012
Feb-19,441793
Mar-19,513263
Apr-19,506157
May-19,543388
